Назва морського порту,Рік,Місяць,Портовий оператор,"Причал, номер",Вид вантажу,Напрямок,Обсяг переробленного вантажу,Одиниця виміру
Бердянський морський порт,2014,Січень,ЗПК «Нова Хортиця»,9,Хлібні - всього,Навантаження,"11,4",тис. тонн
Бердянський морський порт,2014,Січень,ДП «Бердянський МТП»,1,Чорні метали - всього,Розвантаження,"1,3",тис. тонн
Бердянський морський порт,2014,Січень,ДП «Бердянський МТП»,1,Хлібні - всього,Навантаження,"19,4",тис. тонн
Бердянський морський порт,2014,Січень,ДП «Бердянський МТП»,1,Чорні метали - всього,Навантаження,"19,7",тис. тонн
Бердянський морський порт,2014,Січень,ДП «Бердянський МТП»,2,Продовольчі вантажі - всього,Розвантаження,"2,4",тис. тонн
Бердянський морський порт,2014,Січень,ДП «Бердянський МТП»,2,Інші тарно-штучні вантажі,Розвантаження,"1,6",тис. тонн
Бердянський морський порт,2014,Січень,ДП «Бердянський МТП»,2,Хлібні - всього,Навантаження,"17,8",тис. тонн
Бердянський морський порт,2014,Січень,ДП «Бердянський МТП»,3,Кокс,Навантаження,"25,6",тис. тонн
Бердянський морський порт,2014,Січень,ДП «Бердянський МТП»,3,Інші тарно-штучні вантажі,Навантаження,"0,3",тис. тонн
Бердянський морський порт,2014,Січень,ДП «Бердянський МТП»,4,Хлібні - всього,Навантаження,"1,7",тис. тонн
Бердянський морський порт,2014,Січень,ДП «Бердянський МТП»,5,Вугілля,Навантаження,"4,2",тис. тонн
Бердянський морський порт,2014,Січень,ДП «Бердянський МТП»,5,Кокс,Навантаження,"27,2",тис. тонн
Бердянський морський порт,2014,Січень,ДП «Бердянський МТП»,5,Хлібні - всього,Навантаження,13,тис. тонн
Бердянський морський порт,2014,Січень,ДП «Бердянський МТП»,7,Чорні метали - всього,Розвантаження,2,тис. тонн
Бердянський морський порт,2014,Січень,ДП «Бердянський МТП»,7,Хлібні - всього,Навантаження,"2,8",тис. тонн
Бердянський морський порт,2014,Січень,ДП «Бердянський МТП»,7,Чорні метали - всього,Навантаження,"16,6",тис. тонн
Бердянський морський порт,2014,Січень,ДП «Бердянський МТП»,8,Вугілля,Навантаження,8,тис. тонн
Бердянський морський порт,2014,Січень,ДП «Бердянський МТП»,8,Кокс,Навантаження,"1,7",тис. тонн
Бердянський морський порт,2014,Січень,ДП «Бердянський МТП»,8,Хлібні - всього,Навантаження,"11,4",тис. тонн
Бердянський морський порт,2014,Лютий,ДП «Бердянський МТП»,1,Продовольчі вантажі - всього,Розвантаження,"0,2",тис. тонн
Бердянський морський порт,2014,Лютий,ДП «Бердянський МТП»,2,Хлібні - всього,Навантаження,"0,9",тис. тонн
