port,year,month,operator,bert,shipment,direction,value
Бердянський морський порт,2013,Серпень,ТОВ «Агро-КЛАСС»,6,Олія,Навантаження,28.5
Бердянський морський порт,2013,Серпень,ЗПК «Нова Хортиця»,9,Хлібні - всього,Навантаження,29.1
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,1,Будівельні,Розвантаження,3.2
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,1,Хлібні - всього,Навантаження,34.4
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,1,Чорні метали - всього,Навантаження,14.7
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,2,Чорні метали - всього,Розвантаження,3.0
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,2,Хлібні - всього,Навантаження,36.2
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,2,Будівельні,Навантаження,12.0
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,3,Інші тарно-штучні вантажі,Розвантаження,0.9
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,3,Кокс,Навантаження,5.5
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,4,Вугілля,Навантаження,3.5
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,4,Чорні метали - всього,Навантаження,2.2
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,5,Чорні метали - всього,Розвантаження,1.5
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,5,Хлібні - всього,Навантаження,6.3
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,5,Вугілля,Навантаження,16.3
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,5,Кокс,Навантаження,27.1
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,7,Нафтопродукти,Розвантаження,12.6
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,7,Хлібні - всього,Навантаження,5.8
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,7,Вугілля,Навантаження,10.2
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,7,Чорні метали - всього,Навантаження,9.7
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,8,Чорні метали - всього,Розвантаження,1.1
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,8,Хлібні - всього,Навантаження,6.1
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,8,Вугілля,Навантаження,14.3
Бердянський морський порт,2013,Серпень,ДП «Бердянський МТП»,8,Кокс,Навантаження,10.6
Бердянський морський порт,2013,Липень,ТОВ «Агро-КЛАСС»,6,Олія,Навантаження,9.6
Бердянський морський порт,2013,Липень,ЗПК «Нова Хортиця»,9,Хлібні - всього,Навантаження,21.8
Бердянський морський порт,2013,Липень,ДП «Бердянський МТП»,1,Чорні метали - всього,Розвантаження,3.3
Бердянський морський порт,2013,Липень,ДП «Бердянський МТП»,1,Хлібні - всього,Навантаження,8.3
Бердянський морський порт,2013,Липень,ДП «Бердянський МТП»,2,Чорні метали - всього,Розвантаження,2.9
Бердянський морський порт,2013,Липень,ДП «Бердянський МТП»,2,Інші тарно-штучні вантажі,Розвантаження,3.2
Бердянський морський порт,2013,Липень,ДП «Бердянський МТП»,2,Хлібні - всього,Навантаження,14.6
Бердянський морський порт,2013,Липень,ДП «Бердянський МТП»,3,Хлібні - всього,Навантаження,1.2
Бердянський морський порт,2013,Липень,ДП «Бердянський МТП»,4,Вугілля,Навантаження,10.1
Бердянський морський порт,2013,Липень,ДП «Бердянський МТП»,5,Кокс,Навантаження,12.4
Бердянський морський порт,2013,Липень,ДП «Бердянський МТП»,7,Нафтопродукти,Розвантаження,2.9
Бердянський морський порт,2013,Липень,ДП «Бердянський МТП»,7,Чорні метали - всього,Навантаження,15.1
Бердянський морський порт,2013,Липень,ДП «Бердянський МТП»,8,Вугілля,Навантаження,9.5
Бердянський морський порт,2013,Вересень,ТОВ «Агро-КЛАСС»,6,Олія,Навантаження,6.0
Бердянський морський порт,2013,Вересень,ЗПК «Нова Хортиця»,9,Хлібні - всього,Навантаження,18.9
Бердянський морський порт,2013,Вересень,ЗПК «Нова Хортиця»,9,Інші сипучі вантажі,Навантаження,4.5
Бердянський морський порт,2013,Вересень,ДП «Бердянський МТП»,1,Чорні метали - всього,Розвантаження,1.1
Бердянський морський порт,2013,Вересень,ДП «Бердянський МТП»,1,Хлібні - всього,Навантаження,30.4
Бердянський морський порт,2013,Вересень,ДП «Бердянський МТП»,1,Чорні метали - всього,Навантаження,9.9
Бердянський морський порт,2013,Вересень,ДП «Бердянський МТП»,2,Чорні метали - всього,Розвантаження,3.0
Бердянський морський порт,2013,Вересень,ДП «Бердянський МТП»,2,Хлібні - всього,Навантаження,31.3
Бердянський морський порт,2013,Вересень,ДП «Бердянський МТП»,3,Інші тарно-штучні вантажі,Розвантаження,0.7
Бердянський морський порт,2013,Вересень,ДП «Бердянський МТП»,3,Хлібні - всього,Навантаження,8.0
Бердянський морський порт,2013,Вересень,ДП «Бердянський МТП»,3,Вугілля,Навантаження,19.3
Бердянський морський порт,2013,Вересень,ДП «Бердянський МТП»,3,Інші тарно-штучні вантажі,Навантаження,0.4
Бердянський морський порт,2013,Вересень,ДП «Бердянський МТП»,3,Автотехніка й сільгосптехніка,Навантаження,1.1
Бердянський морський порт,2013,Вересень,ДП «Бердянський МТП»,4,Чорні метали - всього,Розвантаження,1.4
Бердянський морський порт,2013,Вересень,ДП «Бердянський МТП»,4,Чорні метали - всього,Навантаження,1.7
Бердянський морський порт,2013,Вересень,ДП «Бердянський МТП»,5,Хлібні - всього,Навантаження,26.5
Бердянський морський порт,2013,Вересень,ДП «Бердянський МТП»,5,Кокс,Навантаження,1.5
Бердянський морський порт,2013,Вересень,ДП «Бердянський МТП»,7,Нафтопродукти,Розвантаження,12.4
Бердянський морський порт,2013,Вересень,ДП «Бердянський МТП»,7,Хлібні - всього,Навантаження,0.7
Бердянський морський порт,2013,Вересень,ДП «Бердянський МТП»,7,Чорні метали - всього,Навантаження,18.0
Бердянський морський порт,2013,Вересень,ДП «Бердянський МТП»,8,Хлібні - всього,Навантаження,3.9
Бердянський морський порт,2013,Вересень,ДП «Бердянський МТП»,8,Вугілля,Навантаження,35.1
Бердянський морський порт,2013,Вересень,ДП «Бердянський МТП»,3,Кокс,Навантаження,5.3
Бердянський морський порт,2013,Жовтень,ТОВ «Агро-КЛАСС»,6,Олія,Навантаження,15.4
Бердянський морський порт,2013,Жовтень,ЗПК «Нова Хортиця»,9,Хлібні - всього,Навантаження,17.1
Бердянський морський порт,2013,Жовтень,ДП «Бердянський МТП»,1,Чорні метали - всього,Розвантаження,4.5
Бердянський морський порт,2013,Жовтень,ДП «Бердянський МТП»,1,Хлібні - всього,Навантаження,33.5
Бердянський морський порт,2013,Жовтень,ДП «Бердянський МТП»,1,Чорні метали - всього,Навантаження,10.0
Бердянський морський порт,2013,Жовтень,ДП «Бердянський МТП»,1,Автотехніка й сільгосптехніка,Навантаження,0.4
Бердянський морський порт,2013,Жовтень,ДП «Бердянський МТП»,2,Інші тарно-штучні вантажі,Розвантаження,1.7
Бердянський морський порт,2013,Жовтень,ДП «Бердянський МТП»,2,Хлібні - всього,Навантаження,10.9
Бердянський морський порт,2013,Жовтень,ДП «Бердянський МТП»,2,Будівельні,Навантаження,14.2
Бердянський морський порт,2013,Жовтень,ДП «Бердянський МТП»,3,Хлібні - всього,Навантаження,3.8
Бердянський морський порт,2013,Жовтень,ДП «Бердянський МТП»,3,Кокс,Навантаження,10.3
Бердянський морський порт,2013,Жовтень,ДП «Бердянський МТП»,3,Вугілля,Навантаження,8.9
Бердянський морський порт,2013,Жовтень,ДП «Бердянський МТП»,3,Хім. та мін. добрива (тарно-штучні),Навантаження,0.6
Бердянський морський порт,2013,Жовтень,ДП «Бердянський МТП»,4,Хлібні - всього,Навантаження,7.0
Бердянський морський порт,2013,Жовтень,ДП «Бердянський МТП»,4,Чорні метали - всього,Навантаження,1.0
Бердянський морський порт,2013,Жовтень,ДП «Бердянський МТП»,5,Хлібні - всього,Навантаження,14.8
Бердянський морський порт,2013,Жовтень,ДП «Бердянський МТП»,5,Вугілля,Навантаження,5.0
Бердянський морський порт,2013,Жовтень,ДП «Бердянський МТП»,7,Нафтопродукти,Розвантаження,2.4
Бердянський морський порт,2013,Жовтень,ДП «Бердянський МТП»,7,Хлібні - всього,Навантаження,11.8
Бердянський морський порт,2013,Жовтень,ДП «Бердянський МТП»,7,Чорні метали - всього,Навантаження,5.3
Бердянський морський порт,2013,Жовтень,ДП «Бердянський МТП»,8,Хлібні - всього,Навантаження,5.9
Бердянський морський порт,2013,Жовтень,ДП «Бердянський МТП»,8,Вугілля,Навантаження,17.8
Бердянський морський порт,2013,Жовтень,ДП «Бердянський МТП»,8,Кокс,Навантаження,22.7
Бердянський морський порт,2013,Листопад,ЗПК «Нова Хортиця»,9,Хлібні - всього,Навантаження,12.4
Бердянський морський порт,2013,Листопад,ДП «Бердянський МТП»,1,Хлібні - всього,Навантаження,3.9
Бердянський морський порт,2013,Листопад,ДП «Бердянський МТП»,1,Чорні метали - всього,Навантаження,22.3
Бердянський морський порт,2013,Листопад,ДП «Бердянський МТП»,2,Руда всяка,Розвантаження,0.2
Бердянський морський порт,2013,Листопад,ДП «Бердянський МТП»,2,Чорні метали - всього,Розвантаження,3.1
Бердянський морський порт,2013,Листопад,ДП «Бердянський МТП»,2,Інші тарно-штучні вантажі,Розвантаження,3.4
Бердянський морський порт,2013,Листопад,ДП «Бердянський МТП»,2,Кокс,Навантаження,3.2
Бердянський морський порт,2013,Листопад,ДП «Бердянський МТП»,2,Хлібні - всього,Навантаження,17.3
Бердянський морський порт,2013,Листопад,ДП «Бердянський МТП»,3,Чорні метали - всього,Розвантаження,1.6
Бердянський морський порт,2013,Листопад,ДП «Бердянський МТП»,3,Вугілля,Навантаження,22.2
Бердянський морський порт,2013,Листопад,ДП «Бердянський МТП»,3,Кокс,Навантаження,5.3
Бердянський морський порт,2013,Листопад,ДП «Бердянський МТП»,3,Хлібні - всього,Навантаження,3.5
Бердянський морський порт,2013,Листопад,ДП «Бердянський МТП»,4,Хлібні - всього,Навантаження,16.2
Бердянський морський порт,2013,Листопад,ДП «Бердянський МТП»,4,Чорні метали - всього,Навантаження,2.7
Бердянський морський порт,2013,Листопад,ДП «Бердянський МТП»,5,Вугілля,Навантаження,7.4
Бердянський морський порт,2013,Листопад,ДП «Бердянський МТП»,5,Кокс,Навантаження,18.9
Бердянський морський порт,2013,Листопад,ДП «Бердянський МТП»,5,Хлібні - всього,Навантаження,22.2
Бердянський морський порт,2013,Листопад,ДП «Бердянський МТП»,7,Вугілля,Навантаження,2.8
Бердянський морський порт,2013,Листопад,ДП «Бердянський МТП»,7,Кокс,Навантаження,5.8
Бердянський морський порт,2013,Листопад,ДП «Бердянський МТП»,7,Хлібні - всього,Навантаження,4.1
Бердянський морський порт,2013,Листопад,ДП «Бердянський МТП»,7,Чорні метали - всього,Навантаження,5.2
Бердянський морський порт,2013,Листопад,ДП «Бердянський МТП»,8,Вугілля,Навантаження,23.6
Бердянський морський порт,2013,Листопад,ДП «Бердянський МТП»,8,Кокс,Навантаження,1.8
Бердянський морський порт,2013,Листопад,ДП «Бердянський МТП»,8,Хлібні - всього,Навантаження,20.7
Бердянський морський порт,2013,Грудень,ТОВ «Агро-КЛАСС»,6,Олія,Навантаження,6.3
Бердянський морський порт,2013,Грудень,ЗПК «Нова Хортиця»,9,Олія,Навантаження,11.4
Бердянський морський порт,2013,Грудень,ДП «Бердянський МТП»,1,Хлібні - всього,Навантаження,18.2
Бердянський морський порт,2013,Грудень,ДП «Бердянський МТП»,1,Чорні метали - всього,Навантаження,33.5
Бердянський морський порт,2013,Грудень,ДП «Бердянський МТП»,2,Руда всяка,Розвантаження,2.3
Бердянський морський порт,2013,Грудень,ДП «Бердянський МТП»,2,Чорні метали - всього,Розвантаження,1.7
Бердянський морський порт,2013,Грудень,ДП «Бердянський МТП»,2,Хлібні - всього,Навантаження,30.3
Бердянський морський порт,2013,Грудень,ДП «Бердянський МТП»,3,Вугілля,Навантаження,0.2
Бердянський морський порт,2013,Грудень,ДП «Бердянський МТП»,3,Кокс,Навантаження,4.5
Бердянський морський порт,2013,Грудень,ДП «Бердянський МТП»,3,Хлібні - всього,Навантаження,7.9
Бердянський морський порт,2013,Грудень,ДП «Бердянський МТП»,3,Хім. та мін. добрива (тарно-штучні),Навантаження,0.6
Бердянський морський порт,2013,Грудень,ДП «Бердянський МТП»,4,Вугілля,Навантаження,5.4
Бердянський морський порт,2013,Грудень,ДП «Бердянський МТП»,4,Хлібні - всього,Навантаження,3.6
Бердянський морський порт,2013,Грудень,ДП «Бердянський МТП»,4,Чорні метали - всього,Навантаження,2.8
Бердянський морський порт,2013,Грудень,ДП «Бердянський МТП»,5,Вугілля,Навантаження,3.1
Бердянський морський порт,2013,Грудень,ДП «Бердянський МТП»,5,Кокс,Навантаження,4.7
Бердянський морський порт,2013,Грудень,ДП «Бердянський МТП»,5,Хлібні - всього,Навантаження,26.9
Бердянський морський порт,2013,Грудень,ДП «Бердянський МТП»,7,Чорні метали - всього,Навантаження,40.0
Бердянський морський порт,2013,Грудень,ДП «Бердянський МТП»,8,Чорні метали - всього,Розвантаження,1.5
Бердянський морський порт,2013,Грудень,ДП «Бердянський МТП»,8,Хлібні - всього,Навантаження,23.7
Бердянський морський порт,2013,Грудень,ДП «Бердянський МТП»,8,Вугілля,Навантаження,3.0
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,4,Чорні метали - всього,Навантаження,1.121
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,4,Інші тарно-штучні вантажі,Розвантаження,0.784
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,4,Хім. та мін. добрива (тарно-штучні),Навантаження,3.27
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,5,Чорні метали - всього,Розвантаження,0.694
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,5,Хім. та мін. добрива (тарно-штучні),Розвантаження,1.253
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,5,Будівельні,Навантаження,3.605
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,7,Чорні метали - всього,Розвантаження,1.314
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,7,Інші тарно-штучні вантажі,Навантаження,7.595
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,7,Інші тарно-штучні вантажі,Розвантаження,0.717
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,7,Продовольчі вантажі - всього,Навантаження,0.735
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,7,Вугілля,Навантаження,5.0
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,8,Хлібні - всього,Навантаження,2.907
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,8,Олія,Навантаження,6.062
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,8,Чорні метали - всього,Навантаження,5.848
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,8,Інші тарно-штучні вантажі,Навантаження,4.161
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,8,Інші тарно-штучні вантажі,Розвантаження,1.533
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,8,Хім. та мін. добрива (тарно-штучні),Розвантаження,1.024
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,13,Вугілля,Навантаження,27.506
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,14,Чорні метали - всього,Навантаження,12.708
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,14,Вугілля,Навантаження,1.445
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,14,"Хімічні, мінеральні добрива (сипучі)",Навантаження,2.503
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,16,Кокс,Навантаження,1.011
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,16,Вугілля,Навантаження,29.469
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,17,Вугілля,Навантаження,23.046
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,18,Руда всяка,Навантаження,5.307
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,19,Вугілля,Навантаження,10.169
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,20,Кокс,Навантаження,1.448
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,20,Руда всяка,Навантаження,28.534
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,20,Вугілля,Навантаження,1.378
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,21,Вугілля,Навантаження,6.518
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,22,Кокс,Навантаження,8.683
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,22,Чорні метали - всього,Навантаження,2.336
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,22,Вугілля,Навантаження,8.729
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,22,Руда всяка,Навантаження,7.249
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,24,Вугілля,Навантаження,18.818
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,25,Чорні метали - всього,Навантаження,12.089
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,25,"Хімічні, мінеральні добрива (сипучі)",Навантаження,13.463
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,26,Вугілля,Навантаження,1.027
Ізмаїльський морський порт,2013,Грудень,ДП «Ізмаїльський МТП»,26,"Хімічні, мінеральні добрива (сипучі)",Навантаження,1.634
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,4,Чорні метали - всього,Розвантаження,3.059
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,4,Інші тарно-штучні вантажі,Розвантаження,0.74
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,4,Хім. та мін. добрива (тарно-штучні),Навантаження,1.259
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,5,Будівельні,Навантаження,4.545
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,6,Інші тарно-штучні вантажі,Навантаження,0.06
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,6,Хім. та мін. добрива (тарно-штучні),Навантаження,3.604
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,7,Хлібні - всього,Навантаження,3.055
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,7,Інші тарно-штучні вантажі,Навантаження,3.849
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,7,Інші тарно-штучні вантажі,Розвантаження,0.762
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,8,Олія,Навантаження,9.078
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,8,Чорні метали - всього,Навантаження,5.127
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,8,Інші тарно-штучні вантажі,Розвантаження,0.762
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,8,Хім. та мін. добрива (тарно-штучні),Навантаження,1.199
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,12,Вугілля,Навантаження,2.5
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,13,Вугілля,Навантаження,25.0
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,14,Вугілля,Навантаження,2.501
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,14,Інші сипучі вантажі,Навантаження,0.617
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,16,Вугілля,Навантаження,38.504
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,17,Вугілля,Навантаження,22.311
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,18,Руда всяка,Навантаження,31.266
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,19,Вугілля,Навантаження,11.842
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,20,Руда всяка,Навантаження,38.672
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,21,Кокс,Навантаження,1.6
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,21,Вугілля,Навантаження,9.601
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,22,Руда всяка,Навантаження,9.133
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,22,Чорні метали - всього,Навантаження,2.065
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,22,Вугілля,Навантаження,13.462
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,23,Руда всяка,Навантаження,16.316
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,24,Вугілля,Навантаження,17.629
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,25,Чорні метали - всього,Навантаження,2.14
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,25,Інші сипучі вантажі,Навантаження,0.328
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,25,"Хімічні, мінеральні добрива (сипучі)",Навантаження,4.284
Ізмаїльський морський порт,2013,Листопад,ДП «Ізмаїльський МТП»,26,Чорні метали - всього,Навантаження,3.128
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,4,Чорні метали - всього,Навантаження,4.203
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,4,Інші тарно-штучні вантажі,Розвантаження,0.745
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,5,Інші сипучі вантажі,Навантаження,2.051
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,6,Інші тарно-штучні вантажі,Розвантаження,0.744
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,7,Чорні метали - всього,Навантаження,1.035
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,7,Інші тарно-штучні вантажі,Розвантаження,1.744
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,7,Інші сипучі вантажі,Розвантаження,1.142
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,8,Олія,Навантаження,2.954
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,8,Чорні метали - всього,Навантаження,3.405
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,8,Інші тарно-штучні вантажі,Розвантаження,1.495
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,12,Вугілля,Навантаження,14.009
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,13,Чорні метали - всього,Навантаження,1.436
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,13,Вугілля,Навантаження,9.13
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,13,"Хімічні, мінеральні добрива (сипучі)",Навантаження,1.19
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,16,Вугілля,Навантаження,30.853
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,17,Руда всяка,Навантаження,1.3
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,17,Вугілля,Навантаження,44.25
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,18,Руда всяка,Навантаження,12.435
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,19,Вугілля,Навантаження,9.564
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,20,Руда всяка,Навантаження,21.02
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,21,Вугілля,Навантаження,22.086
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,22,Руда всяка,Навантаження,9.794
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,22,Кокс,Навантаження,3.08
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,22,Вугілля,Навантаження,11.338
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,23,Руда всяка,Навантаження,3.978
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,24,Вугілля,Навантаження,19.713
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,26,Чорні метали - всього,Навантаження,2.991
Ізмаїльський морський порт,2013,Жовтень,ДП «Ізмаїльський МТП»,7,Інші тарно-штучні вантажі,Навантаження,7.386
Ізмаїльський морський порт,2013,Вересень,ДП «Ізмаїльський МТП»,4,Чорні метали - всього,Навантаження,1.993
Ізмаїльський морський порт,2013,Вересень,ДП «Ізмаїльський МТП»,4,Інші тарно-штучні вантажі,Розвантаження,0.736
Ізмаїльський морський порт,2013,Вересень,ДП «Ізмаїльський МТП»,4,Хім. та мін. добрива (тарно-штучні),Навантаження,2.091
Ізмаїльський морський порт,2013,Вересень,ДП «Ізмаїльський МТП»,5,Інші тарно-штучні вантажі,Розвантаження,0.746
Ізмаїльський морський порт,2013,Вересень,ДП «Ізмаїльський МТП»,5,Хім. та мін. добрива (тарно-штучні),Навантаження,3.175
Ізмаїльський морський порт,2013,Вересень,ДП «Ізмаїльський МТП»,5,Будівельні,Навантаження,4.518
Ізмаїльський морський порт,2013,Вересень,ДП «Ізмаїльський МТП»,6,Хім. та мін. добрива (тарно-штучні),Навантаження,1.003
Ізмаїльський морський порт,2013,Вересень,ДП «Ізмаїльський МТП»,7,Інші тарно-штучні вантажі,Навантаження,3.187
Ізмаїльський морський порт,2013,Вересень,ДП «Ізмаїльський МТП»,7,Інші тарно-штучні вантажі,Розвантаження,1.48
Ізмаїльський морський порт,2013,Вересень,ДП «Ізмаїльський МТП»,8,Олія,Навантаження,3.497
Ізмаїльський морський порт,2013,Вересень,ДП «Ізмаїльський МТП»,8,Чорні метали - всього,Навантаження,2.002
Ізмаїльський морський порт,2013,Вересень,ДП «Ізмаїльський МТП»,8,Чорні метали - всього,Розвантаження,1.882
Ізмаїльський морський порт,2013,Вересень,ДП «Ізмаїльський МТП»,8,Інші тарно-штучні вантажі,Розвантаження,1.479
Ізмаїльський морський порт,2013,Вересень,ДП «Ізмаїльський МТП»,12,Кокс,Навантаження,1.382
Ізмаїльський морський порт,2013,Вересень,ДП «Ізмаїльський МТП»,12,Чорні метали - всього,Навантаження,5.738
Ізмаїльський морський порт,2013,Вересень,ДП «Ізмаїльський МТП»,12,Вугілля,Навантаження,15.965
Ізмаїльський морський порт,2013,Вересень,ДП «Ізмаїльський МТП»,13,Чорні метали - всього,Навантаження,0.864
Ізмаїльський морський порт,2013,Вересень,ДП «Ізмаїльський МТП»,13,Вугілля,Навантаження,18.196
