Назва морського порту,Рік,Місяць,Портовий оператор,"Причал, номер",Вид вантажу,Напрямок,Обсяг переробленного вантажу,Одиниця виміру
Бердянський морський порт,2015,Січень,ЗПК «Нова Хортиця»,9,Хлібні - всього,Навантаження,"2,3",тис. тонн
Бердянський морський порт,2015,Січень,ДП «Бердянський МТП»,1,Будівельні,Навантаження,"27,9",тис. тонн
Бердянський морський порт,2015,Січень,ДП «Бердянський МТП»,1,Хлібні - всього,Навантаження,"22,3",тис. тонн
Бердянський морський порт,2015,Січень,ДП «Бердянський МТП»,1,Чорні метали - всього,Навантаження,"18,9",тис. тонн
Бердянський морський порт,2015,Січень,ДП «Бердянський МТП»,2,Хлібні - всього,Навантаження,"16,7",тис. тонн
Бердянський морський порт,2015,Січень,ДП «Бердянський МТП»,2,Чорні метали - всього,Навантаження,"10,1",тис. тонн
Бердянський морський порт,2015,Січень,ДП «Бердянський МТП»,3,Будівельні,Навантаження,"65,7",тис. тонн
Бердянський морський порт,2015,Січень,ДП «Бердянський МТП»,4,Хлібні - всього,Навантаження,"6,9",тис. тонн
Бердянський морський порт,2015,Січень,ДП «Бердянський МТП»,4,Чорні метали - всього,Навантаження,"9,2",тис. тонн
Бердянський морський порт,2015,Січень,ДП «Бердянський МТП»,5,Хлібні - всього,Навантаження,"5,2",тис. тонн
Бердянський морський порт,2015,Січень,ДП «Бердянський МТП»,5,Чорні метали - всього,Навантаження,"0,7",тис. тонн
Бердянський морський порт,2015,Січень,ДП «Бердянський МТП»,5,Руда всяка,Навантаження,"23,9",тис. тонн
Бердянський морський порт,2015,Січень,ДП «Бердянський МТП»,7,Кокс,Навантаження,"0,9",тис. тонн
Бердянський морський порт,2015,Січень,ДП «Бердянський МТП»,7,Хлібні - всього,Навантаження,"7,4",тис. тонн
Бердянський морський порт,2015,Січень,ДП «Бердянський МТП»,7,Чорні метали - всього,Навантаження,"13,5",тис. тонн
Бердянський морський порт,2015,Січень,ДП «Бердянський МТП»,8,Кокс,Навантаження,"0,8",тис. тонн
Бердянський морський порт,2015,Січень,ДП «Бердянський МТП»,8,Хлібні - всього,Навантаження,"2,2",тис. тонн
Бердянський морський порт,2015,Січень,ДП «Бердянський МТП»,8,Чорні метали - всього,Навантаження,"25,2",тис. тонн
Бердянський морський порт,2015,Лютий,ЗПК «Нова Хортиця»,9,Хлібні - всього,Навантаження,"13,3",тис. тонн
Бердянський морський порт,2015,Лютий,ДП «Бердянський МТП»,1,Хлібні - всього,Навантаження,6,тис. тонн
Бердянський морський порт,2015,Лютий,ДП «Бердянський МТП»,1,Чорні метали - всього,Навантаження,"16,9",тис. тонн
Бердянський морський порт,2015,Лютий,ДП «Бердянський МТП»,2,Кокс,Навантаження,"0,9",тис. тонн
Бердянський морський порт,2015,Лютий,ДП «Бердянський МТП»,2,Хлібні - всього,Навантаження,"12,2",тис. тонн
Бердянський морський порт,2015,Лютий,ДП «Бердянський МТП»,2,Чорні метали - всього,Навантаження,"13,5",тис. тонн
Бердянський морський порт,2015,Лютий,ДП «Бердянський МТП»,3,Будівельні,Навантаження,"31,5",тис. тонн
Бердянський морський порт,2015,Лютий,ДП «Бердянський МТП»,3,Хлібні - всього,Навантаження,"4,7",тис. тонн
Бердянський морський порт,2015,Лютий,ДП «Бердянський МТП»,4,Будівельні,Навантаження,"13,2",тис. тонн
Бердянський морський порт,2015,Лютий,ДП «Бердянський МТП»,4,Чорні метали - всього,Навантаження,"8,9",тис. тонн
Бердянський морський порт,2015,Лютий,ДП «Бердянський МТП»,5,Кокс,Навантаження,4,тис. тонн
Бердянський морський порт,2015,Лютий,ДП «Бердянський МТП»,5,Чорні метали - всього,Навантаження,"1,9",тис. тонн
Бердянський морський порт,2015,Лютий,ДП «Бердянський МТП»,5,Руда всяка,Навантаження,"81,5",тис. тонн
Бердянський морський порт,2015,Лютий,ДП «Бердянський МТП»,7,Чорні метали - всього,Навантаження,"9,8",тис. тонн
Бердянський морський порт,2015,Лютий,ДП «Бердянський МТП»,7,Руда всяка,Навантаження,"27,9",тис. тонн
Бердянський морський порт,2015,Лютий,ДП «Бердянський МТП»,8,Хлібні - всього,Навантаження,"9,6",тис. тонн
Бердянський морський порт,2015,Лютий,ДП «Бердянський МТП»,8,Руда всяка,Навантаження,"57,7",тис. тонн
Бердянський морський порт,2015,Березень,ЗПК «Нова Хортиця»,9,Хлібні - всього,Навантаження,"16,3",тис. тонн
Бердянський морський порт,2015,Березень,ДП «Бердянський МТП»,1,Будівельні,Навантаження,"24,6",тис. тонн
Бердянський морський порт,2015,Березень,ДП «Бердянський МТП»,1,Хлібні - всього,Навантаження,"14,7",тис. тонн
Бердянський морський порт,2015,Березень,ДП «Бердянський МТП»,2,Хлібні - всього,Навантаження,"15,8",тис. тонн
Бердянський морський порт,2015,Березень,ДП «Бердянський МТП»,3,Будівельні,Навантаження,"41,4",тис. тонн
Бердянський морський порт,2015,Березень,ДП «Бердянський МТП»,4,Хлібні - всього,Навантаження,"5,2",тис. тонн
Бердянський морський порт,2015,Березень,ДП «Бердянський МТП»,4,Чорні метали - всього,Навантаження,"5,4",тис. тонн
Бердянський морський порт,2015,Березень,ДП «Бердянський МТП»,5,Кокс,Навантаження,"4,7",тис. тонн
Бердянський морський порт,2015,Березень,ДП «Бердянський МТП»,5,Чорні метали - всього,Навантаження,1,тис. тонн
Бердянський морський порт,2015,Березень,ДП «Бердянський МТП»,5,Руда всяка,Навантаження,"72,6",тис. тонн
Бердянський морський порт,2015,Березень,ДП «Бердянський МТП»,7,Руда всяка,Навантаження,"92,4",тис. тонн
Бердянський морський порт,2015,Березень,ДП «Бердянський МТП»,7,Чорні метали - всього,Навантаження,"4,9",тис. тонн
Бердянський морський порт,2015,Березень,ДП «Бердянський МТП»,4,Будівельні,Навантаження,"10,4",тис. тонн
Бердянський морський порт,2015,Березень,ДП «Бердянський МТП»,8,Чорні метали - всього,Навантаження,"1,2",тис. тонн
Бердянський морський порт,2015,Березень,ДП «Бердянський МТП»,8,Руда всяка,Навантаження,"14,4",тис. тонн
Бердянський морський порт,2015,Квітень,ЗПК «Нова Хортиця»,9,Хлібні - всього,Навантаження,"9,9",тис. тонн
Бердянський морський порт,2015,Квітень,ДП «Бердянський МТП»,1,Будівельні,Навантаження,"14,7",тис. тонн
Бердянський морський порт,2015,Квітень,ДП «Бердянський МТП»,1,Хлібні - всього,Навантаження,"15,9",тис. тонн
Бердянський морський порт,2015,Квітень,ДП «Бердянський МТП»,1,Інші сипучі вантажі,Навантаження,3,тис. тонн
Бердянський морський порт,2015,Квітень,ДП «Бердянський МТП»,1,Чорні метали - всього,Навантаження,"29,8",тис. тонн
Бердянський морський порт,2015,Квітень,ДП «Бердянський МТП»,2,Будівельні,Навантаження,"28,3",тис. тонн
Бердянський морський порт,2015,Квітень,ДП «Бердянський МТП»,2,Хлібні - всього,Навантаження,"18,5",тис. тонн
Бердянський морський порт,2015,Квітень,ДП «Бердянський МТП»,3,Будівельні,Навантаження,"62,1",тис. тонн
Бердянський морський порт,2015,Квітень,ДП «Бердянський МТП»,4,Кокс,Навантаження,"3,3",тис. тонн
Бердянський морський порт,2015,Квітень,ДП «Бердянський МТП»,4,Будівельні,Навантаження,8,тис. тонн
Бердянський морський порт,2015,Квітень,ДП «Бердянський МТП»,4,Чорні метали - всього,Навантаження,"2,7",тис. тонн
Бердянський морський порт,2015,Квітень,ДП «Бердянський МТП»,5,Чорні метали - всього,Навантаження,"2,3",тис. тонн
Бердянський морський порт,2015,Квітень,ДП «Бердянський МТП»,5,Руда всяка,Навантаження,"93,6",тис. тонн
Бердянський морський порт,2015,Квітень,ДП «Бердянський МТП»,7,Чорні метали - всього,Навантаження,"10,1",тис. тонн
