Назва морського порту,Рік,Місяць,Портовий оператор,"Причал, номер",Вид вантажу,Напрямок,Обсяг переробленного вантажу,Одиниця виміру
Бердянський морський порт,2015,Квітень,ДП «Бердянський МТП»,7,Руда всяка,Навантаження,"87,4",тис. тонн
Бердянський морський порт,2015,Квітень,ДП «Бердянський МТП»,8,Хлібні - всього,Навантаження,"5,4",тис. тонн
Бердянський морський порт,2015,Квітень,ДП «Бердянський МТП»,8,Чорні метали - всього,Навантаження,"3,7",тис. тонн
Бердянський морський порт,2015,Квітень,ДП «Бердянський МТП»,8,Руда всяка,Навантаження,"22,9",тис. тонн
Бердянський морський порт,2015,Травень,ЗПК «Нова Хортиця»,9,Хлібні - всього,Навантаження,"22,2",тис. тонн
Бердянський морський порт,2015,Травень,ДП «Бердянський МТП»,1,Будівельні,Навантаження,"44,1",тис. тонн
Бердянський морський порт,2015,Травень,ДП «Бердянський МТП»,1,Хлібні - всього,Навантаження,"22,4",тис. тонн
Бердянський морський порт,2015,Травень,ДП «Бердянський МТП»,2,Будівельні,Навантаження,"34,2",тис. тонн
Бердянський морський порт,2015,Травень,ДП «Бердянський МТП»,2,Хлібні - всього,Навантаження,"17,3",тис. тонн
Бердянський морський порт,2015,Травень,ДП «Бердянський МТП»,3,Будівельні,Навантаження,"64,1",тис. тонн
Бердянський морський порт,2015,Травень,ДП «Бердянський МТП»,4,Будівельні,Навантаження,"13,6",тис. тонн
Бердянський морський порт,2015,Травень,ДП «Бердянський МТП»,4,Чорні метали - всього,Навантаження,"1,5",тис. тонн
Бердянський морський порт,2015,Травень,ДП «Бердянський МТП»,5,Чорні метали - всього,Навантаження,"2,7",тис. тонн
Бердянський морський порт,2015,Травень,ДП «Бердянський МТП»,5,Руда всяка,Навантаження,"92,7",тис. тонн
Бердянський морський порт,2015,Травень,ДП «Бердянський МТП»,7,Чорні метали - всього,Навантаження,"7,8",тис. тонн
Бердянський морський порт,2015,Травень,ДП «Бердянський МТП»,7,Руда всяка,Навантаження,"76,5",тис. тонн
Бердянський морський порт,2015,Травень,ДП «Бердянський МТП»,8,Вугілля,Навантаження,"10,1",тис. тонн
Бердянський морський порт,2015,Травень,ДП «Бердянський МТП»,8,Кокс,Навантаження,"2,5",тис. тонн
Бердянський морський порт,2015,Травень,ДП «Бердянський МТП»,8,Чорні метали - всього,Навантаження,"7,6",тис. тонн
Бердянський морський порт,2015,Травень,ДП «Бердянський МТП»,8,Руда всяка,Навантаження,"20,6",тис. тонн
Бердянський морський порт,2015,Травень,ДП «Бердянський МТП»,8,Інші тарно-штучні вантажі,Навантаження,"0,1",тис. тонн
Бердянський морський порт,2015,Червень,ЗПК «Нова Хортиця»,9,Хлібні - всього,Навантаження,"16,2",тис. тонн
Бердянський морський порт,2015,Червень,ДП «Бердянський МТП»,1,Будівельні,Навантаження,37,тис. тонн
Бердянський морський порт,2015,Червень,ДП «Бердянський МТП»,1,Хлібні - всього,Навантаження,"9,7",тис. тонн
Бердянський морський порт,2015,Червень,ДП «Бердянський МТП»,2,Будівельні,Навантаження,"20,8",тис. тонн
Бердянський морський порт,2015,Червень,ДП «Бердянський МТП»,2,Хлібні - всього,Навантаження,"15,6",тис. тонн
Бердянський морський порт,2015,Червень,ДП «Бердянський МТП»,2,Чорні метали - всього,Навантаження,11,тис. тонн
Бердянський морський порт,2015,Червень,ДП «Бердянський МТП»,3,Будівельні,Навантаження,"50,2",тис. тонн
Бердянський морський порт,2015,Червень,ДП «Бердянський МТП»,4,Будівельні,Навантаження,"13,6",тис. тонн
Бердянський морський порт,2015,Червень,ДП «Бердянський МТП»,4,Чорні метали - всього,Навантаження,"6,6",тис. тонн
Бердянський морський порт,2015,Червень,ДП «Бердянський МТП»,5,Чорні метали - всього,Навантаження,"3,4",тис. тонн
Бердянський морський порт,2015,Червень,ДП «Бердянський МТП»,5,Руда всяка,Навантаження,"75,3",тис. тонн
Бердянський морський порт,2015,Червень,ДП «Бердянський МТП»,7,Руда всяка,Навантаження,"96,9",тис. тонн
Бердянський морський порт,2015,Червень,ДП «Бердянський МТП»,8,Кокс,Навантаження,"5,9",тис. тонн
Бердянський морський порт,2015,Червень,ДП «Бердянський МТП»,8,Чорні метали - всього,Навантаження,"6,4",тис. тонн
Бердянський морський порт,2015,Червень,ДП «Бердянський МТП»,8,Руда всяка,Навантаження,"9,6",тис. тонн
Бердянський морський порт,2015,Липень,ЗПК «Нова Хортиця»,9,Хлібні - всього,Навантаження,"15,6",тис. тонн
Бердянський морський порт,2015,Липень,ДП «Бердянський МТП»,1,Будівельні,Навантаження,"36,7",тис. тонн
Бердянський морський порт,2015,Липень,ДП «Бердянський МТП»,1,Хлібні - всього,Навантаження,"24,4",тис. тонн
Бердянський морський порт,2015,Липень,ДП «Бердянський МТП»,2,Будівельні,Навантаження,"19,1",тис. тонн
Бердянський морський порт,2015,Липень,ДП «Бердянський МТП»,2,Хлібні - всього,Навантаження,"16,5",тис. тонн
Бердянський морський порт,2015,Липень,ДП «Бердянський МТП»,2,Чорні метали - всього,Навантаження,10,тис. тонн
Бердянський морський порт,2015,Липень,ДП «Бердянський МТП»,3,Будівельні,Навантаження,"69,6",тис. тонн
Бердянський морський порт,2015,Липень,ДП «Бердянський МТП»,3,Хлібні - всього,Навантаження,"6,6",тис. тонн
Бердянський морський порт,2015,Липень,ДП «Бердянський МТП»,4,Хлібні - всього,Навантаження,"5,4",тис. тонн
Бердянський морський порт,2015,Липень,ДП «Бердянський МТП»,5,Руда всяка,Навантаження,"94,4",тис. тонн
Бердянський морський порт,2015,Липень,ДП «Бердянський МТП»,7,Руда всяка,Навантаження,"95,5",тис. тонн
Бердянський морський порт,2015,Липень,ДП «Бердянський МТП»,8,Кокс,Навантаження,"6,5",тис. тонн
Бердянський морський порт,2015,Липень,ДП «Бердянський МТП»,8,Хлібні - всього,Навантаження,"24,3",тис. тонн
Бердянський морський порт,2015,Липень,ДП «Бердянський МТП»,9,Кокс,Навантаження,"2,7",тис. тонн
Бердянський морський порт,2015,Серпень,ЗПК «Нова Хортиця»,9,Хлібні - всього,Навантаження,23,тис. тонн
Бердянський морський порт,2015,Серпень,ДП «Бердянський МТП»,1,Будівельні,Навантаження,"31,7",тис. тонн
Бердянський морський порт,2015,Серпень,ДП «Бердянський МТП»,1,Хлібні - всього,Навантаження,"47,4",тис. тонн
Бердянський морський порт,2015,Серпень,ДП «Бердянський МТП»,2,Будівельні,Навантаження,"13,5",тис. тонн
Бердянський морський порт,2015,Серпень,ДП «Бердянський МТП»,2,Хлібні - всього,Навантаження,"39,2",тис. тонн
Бердянський морський порт,2015,Серпень,ДП «Бердянський МТП»,3,Будівельні,Навантаження,"64,6",тис. тонн
Бердянський морський порт,2015,Серпень,ДП «Бердянський МТП»,4,Будівельні,Навантаження,"13,2",тис. тонн
Бердянський морський порт,2015,Серпень,ДП «Бердянський МТП»,4,Хлібні - всього,Навантаження,"24,1",тис. тонн
Бердянський морський порт,2015,Серпень,ДП «Бердянський МТП»,4,Чорні метали - всього,Навантаження,"2,6",тис. тонн
Бердянський морський порт,2015,Серпень,ДП «Бердянський МТП»,5,Кокс,Навантаження,"3,6",тис. тонн
Бердянський морський порт,2015,Серпень,ДП «Бердянський МТП»,5,Чорні метали - всього,Навантаження,"2,3",тис. тонн
Бердянський морський порт,2015,Серпень,ДП «Бердянський МТП»,5,Руда всяка,Навантаження,"92,3",тис. тонн
Бердянський морський порт,2015,Серпень,ДП «Бердянський МТП»,7,Кокс,Навантаження,"3,7",тис. тонн
Бердянський морський порт,2015,Серпень,ДП «Бердянський МТП»,7,Руда всяка,Навантаження,"66,2",тис. тонн
Бердянський морський порт,2015,Серпень,ДП «Бердянський МТП»,8,Кокс,Навантаження,"13,7",тис. тонн
Бердянський морський порт,2015,Серпень,ДП «Бердянський МТП»,8,Хлібні - всього,Навантаження,"32,9",тис. тонн
Бердянський морський порт,2015,Серпень,ДП «Бердянський МТП»,9,Хлібні - всього,Навантаження,5,тис. тонн
Бердянський морський порт,2015,Вересень,ЗПК «Нова Хортиця»,9,Хлібні - всього,Навантаження,"26,8",тис. тонн
Бердянський морський порт,2015,Вересень,ДП «Бердянський МТП»,1,Будівельні,Навантаження,"13,3",тис. тонн
Бердянський морський порт,2015,Вересень,ДП «Бердянський МТП»,1,Хлібні - всього,Навантаження,"50,3",тис. тонн
Бердянський морський порт,2015,Вересень,ДП «Бердянський МТП»,2,Будівельні,Навантаження,"10,3",тис. тонн
Бердянський морський порт,2015,Вересень,ДП «Бердянський МТП»,2,Хлібні - всього,Навантаження,"40,2",тис. тонн
Бердянський морський порт,2015,Вересень,ДП «Бердянський МТП»,3,Будівельні,Навантаження,"68,3",тис. тонн
Бердянський морський порт,2015,Вересень,ДП «Бердянський МТП»,3,Хлібні - всього,Навантаження,"11,3",тис. тонн
Бердянський морський порт,2015,Вересень,ДП «Бердянський МТП»,4,Хлібні - всього,Навантаження,"8,6",тис. тонн
Бердянський морський порт,2015,Вересень,ДП «Бердянський МТП»,4,Чорні метали - всього,Навантаження,"2,5",тис. тонн
Бердянський морський порт,2015,Вересень,ДП «Бердянський МТП»,5,Кокс,Навантаження,5,тис. тонн
Бердянський морський порт,2015,Вересень,ДП «Бердянський МТП»,5,Чорні метали - всього,Навантаження,"0,2",тис. тонн
Бердянський морський порт,2015,Вересень,ДП «Бердянський МТП»,5,Руда всяка,Навантаження,"115,3",тис. тонн
Бердянський морський порт,2015,Вересень,ДП «Бердянський МТП»,7,Руда всяка,Навантаження,"85,8",тис. тонн
Бердянський морський порт,2015,Вересень,ДП «Бердянський МТП»,8,Кокс,Навантаження,"2,7",тис. тонн
Бердянський морський порт,2015,Вересень,ДП «Бердянський МТП»,8,Хлібні - всього,Навантаження,"22,4",тис. тонн
Бердянський морський порт,2015,Вересень,ДП «Бердянський МТП»,8,Чорні метали - всього,Навантаження,"4,7",тис. тонн
Бердянський морський порт,2015,Вересень,ДП «Бердянський МТП»,8,Руда всяка,Навантаження,"6,5",тис. тонн
Бердянський морський порт,2015,Жовтень,ЗПК «Нова Хортиця»,9,Хлібні - всього,Навантаження,"13,3",тис. тонн
Бердянський морський порт,2015,Жовтень,ДП «Бердянський МТП»,1,Будівельні,Навантаження,"27,6",тис. тонн
Бердянський морський порт,2015,Жовтень,ДП «Бердянський МТП»,1,Хлібні - всього,Навантаження,"33,5",тис. тонн
Бердянський морський порт,2015,Жовтень,ДП «Бердянський МТП»,2,Будівельні,Навантаження,"30,1",тис. тонн
Бердянський морський порт,2015,Жовтень,ДП «Бердянський МТП»,2,Хлібні - всього,Навантаження,"13,2",тис. тонн
Бердянський морський порт,2015,Жовтень,ДП «Бердянський МТП»,3,Будівельні,Навантаження,"51,1",тис. тонн
Бердянський морський порт,2015,Жовтень,ДП «Бердянський МТП»,4,Будівельні,Навантаження,"3,1",тис. тонн
Бердянський морський порт,2015,Жовтень,ДП «Бердянський МТП»,4,Хлібні - всього,Навантаження,"5,8",тис. тонн
Бердянський морський порт,2015,Жовтень,ДП «Бердянський МТП»,5,Руда всяка,Навантаження,"109,5",тис. тонн
Бердянський морський порт,2015,Жовтень,ДП «Бердянський МТП»,7,Кокс,Навантаження,"3,7",тис. тонн
Бердянський морський порт,2015,Жовтень,ДП «Бердянський МТП»,7,Руда всяка,Навантаження,"56,6",тис. тонн
Бердянський морський порт,2015,Жовтень,ДП «Бердянський МТП»,8,Кокс,Навантаження,"14,9",тис. тонн
Бердянський морський порт,2015,Жовтень,ДП «Бердянський МТП»,8,Хлібні - всього,Навантаження,"28,4",тис. тонн
Бердянський морський порт,2015,Жовтень,ДП «Бердянський МТП»,8,Чорні метали - всього,Навантаження,"1,3",тис. тонн
Бердянський морський порт,2015,Листопад,ЗПК «Нова Хортиця»,9,Хлібні - всього,Навантаження,"6,3",тис. тонн
Бердянський морський порт,2015,Листопад,ДП «Бердянський МТП»,1,Будівельні,Навантаження,"23,5",тис. тонн
Бердянський морський порт,2015,Листопад,ДП «Бердянський МТП»,1,Хлібні - всього,Навантаження,"26,2",тис. тонн
Бердянський морський порт,2015,Листопад,ДП «Бердянський МТП»,1,Чорні метали - всього,Навантаження,10,тис. тонн
Бердянський морський порт,2015,Листопад,ДП «Бердянський МТП»,2,Хлібні - всього,Навантаження,33,тис. тонн
Бердянський морський порт,2015,Листопад,ДП «Бердянський МТП»,3,Будівельні,Навантаження,"52,4",тис. тонн
Бердянський морський порт,2015,Листопад,ДП «Бердянський МТП»,4,Будівельні,Навантаження,"23,2",тис. тонн
Бердянський морський порт,2015,Листопад,ДП «Бердянський МТП»,4,Хлібні - всього,Навантаження,5,тис. тонн
Бердянський морський порт,2015,Листопад,ДП «Бердянський МТП»,4,Чорні метали - всього,Навантаження,"2,5",тис. тонн
Бердянський морський порт,2015,Листопад,ДП «Бердянський МТП»,5,Кокс,Навантаження,"5,5",тис. тонн
Бердянський морський порт,2015,Листопад,ДП «Бердянський МТП»,5,Будівельні,Навантаження,"7,7",тис. тонн
Бердянський морський порт,2015,Листопад,ДП «Бердянський МТП»,5,Хлібні - всього,Навантаження,28,тис. тонн
Бердянський морський порт,2015,Листопад,ДП «Бердянський МТП»,5,Руда всяка,Навантаження,"3,1",тис. тонн
Бердянський морський порт,2015,Листопад,ДП «Бердянський МТП»,7,Хлібні - всього,Навантаження,"21,4",тис. тонн
Бердянський морський порт,2015,Листопад,ДП «Бердянський МТП»,8,Хлібні - всього,Навантаження,"4,1",тис. тонн
Бердянський морський порт,2015,Листопад,ДП «Бердянський МТП»,8,Чорні метали - всього,Навантаження,"25,6",тис. тонн
Білгород-Дністровський морський порт,2015,Листопад,"ТОВ ""КД Транс""",2,Лісні вантажі,Навантаження,"1,714",тис. тонн
Білгород-Дністровський морський порт,2015,Листопад,"ТОВ ""КД Транс""",3,Лісні вантажі,Навантаження,"5,271",тис. тонн
Білгород-Дністровський морський порт,2015,Листопад,"ТОВ ""КД Транс""",4,Лісні вантажі,Навантаження,"5,532",тис. тонн
Білгород-Дністровський морський порт,2015,Листопад,"ТОВ ""КД Транс""",5,Лісні вантажі,Навантаження,"3,847",тис. тонн
Білгород-Дністровський морський порт,2015,Листопад,"ТОВ ""КД Транс""",5,Інші тарно-штучні вантажі,Розвантаження,"3,656",тис. тонн
Білгород-Дністровський морський порт,2015,Листопад,"ТОВ ""КД Транс""",6,Лісні вантажі,Навантаження,"3,892",тис. тонн
Білгород-Дністровський морський порт,2015,Листопад,"ТОВ ""КД Транс""",8,Лісні вантажі,Навантаження,"5,681",тис. тонн
Білгород-Дністровський морський порт,2015,Листопад,"ТОВ ""КД Транс""",8,Інші сипучі вантажі,Навантаження,"4,027",тис. тонн
Білгород-Дністровський морський порт,2015,Листопад,"ПП ""Рівер-Транс""","1 п/п ""Бугаз""",Лісні вантажі,Навантаження,"10,957",тис. тонн
Білгород-Дністровський морський порт,2015,Жовтень,"ТОВ ""КД Транс""",2,Лісні вантажі,Навантаження,"5,733",тис. тонн
Білгород-Дністровський морський порт,2015,Жовтень,"ТОВ ""КД Транс""",3,Лісні вантажі,Навантаження,"9,182",тис. тонн
Білгород-Дністровський морський порт,2015,Жовтень,"ТОВ ""КД Транс""",5,Лісні вантажі,Навантаження,"6,317",тис. тонн
Білгород-Дністровський морський порт,2015,Жовтень,"ТОВ ""КД Транс""",6,Лісні вантажі,Навантаження,"5,183",тис. тонн
Білгород-Дністровський морський порт,2015,Жовтень,"ТОВ ""КД Транс""",8,Лісні вантажі,Навантаження,"8,502",тис. тонн
Білгород-Дністровський морський порт,2015,Жовтень,"ТОВ ""КД Транс""",8,Інші сипучі вантажі,Навантаження,"2,463",тис. тонн
Білгород-Дністровський морський порт,2015,Жовтень,"ПП ""Рівер-Транс""","1 п/п ""Бугаз""",Лісні вантажі,Навантаження,"7,986",тис. тонн
Білгород-Дністровський морський порт,2015,Вересень,"ТОВ ""КД Транс""",2,Лісні вантажі,Навантаження,"8,015",тис. тонн
Білгород-Дністровський морський порт,2015,Вересень,"ТОВ ""КД Транс""",2,Інші тарно-штучні вантажі,Розвантаження,"1,752",тис. тонн
Білгород-Дністровський морський порт,2015,Вересень,"ТОВ ""КД Транс""",3,Лісні вантажі,Навантаження,"2,259",тис. тонн
Білгород-Дністровський морський порт,2015,Вересень,"ТОВ ""КД Транс""",4,Лісні вантажі,Навантаження,"6,997",тис. тонн
Білгород-Дністровський морський порт,2015,Вересень,"ТОВ ""КД Транс""",5,Лісні вантажі,Навантаження,"2,399",тис. тонн
Білгород-Дністровський морський порт,2015,Вересень,"ТОВ ""КД Транс""",5,Інші тарно-штучні вантажі,Розвантаження,"1,753",тис. тонн
Білгород-Дністровський морський порт,2015,Вересень,"ТОВ ""КД Транс""",6,Лісні вантажі,Навантаження,"5,985",тис. тонн
Білгород-Дністровський морський порт,2015,Вересень,"ТОВ ""КД Транс""",8,Лісні вантажі,Навантаження,"3,77",тис. тонн
Білгород-Дністровський морський порт,2015,Вересень,"ПП ""Рівер-Транс""","1 п/п ""Бугаз""",Лісні вантажі,Навантаження,"11,718",тис. тонн
Білгород-Дністровський морський порт,2015,Серпень,"ТОВ ""КД Транс""",2,Лісні вантажі,Навантаження,"7,868",тис. тонн
Білгород-Дністровський морський порт,2015,Серпень,"ТОВ ""КД Транс""",3,Лісні вантажі,Навантаження,"5,489",тис. тонн
Білгород-Дністровський морський порт,2015,Серпень,"ТОВ ""КД Транс""",4,Лісні вантажі,Навантаження,"9,408",тис. тонн
Білгород-Дністровський морський порт,2015,Серпень,"ТОВ ""КД Транс""",5,Лісні вантажі,Навантаження,"7,163",тис. тонн
Білгород-Дністровський морський порт,2015,Серпень,"ТОВ ""КД Транс""",5,Інші тарно-штучні вантажі,Розвантаження,"1,759",тис. тонн
Білгород-Дністровський морський порт,2015,Серпень,"ТОВ ""КД Транс""",6,Лісні вантажі,Навантаження,"4,572",тис. тонн
Білгород-Дністровський морський порт,2015,Серпень,"ТОВ ""КД Транс""",6,Інші тарно-штучні вантажі,Розвантаження,"1,742",тис. тонн
Білгород-Дністровський морський порт,2015,Серпень,"ТОВ ""КД Транс""",8,Лісні вантажі,Навантаження,"5,594",тис. тонн
Білгород-Дністровський морський порт,2015,Серпень,"ТОВ ""КД Транс""",9,Лісні вантажі,Навантаження,"1,102",тис. тонн
Білгород-Дністровський морський порт,2015,Серпень,"ПП ""Рівер-Транс""","1 п/п ""Бугаз""",Лісні вантажі,Навантаження,"4,412",тис. тонн
Білгород-Дністровський морський порт,2015,Серпень,"ПП ""Рівер-Транс""","1 п/п ""Бугаз""",Інші тарно-штучні вантажі,Розвантаження,"0,259",тис. тонн
Білгород-Дністровський морський порт,2015,Липень,"ТОВ ""КД Транс""",2,Лісні вантажі,Навантаження,"7,886",тис. тонн
Білгород-Дністровський морський порт,2015,Липень,"ТОВ ""КД Транс""",2,Інші тарно-штучні вантажі,Розвантаження,"1,575",тис. тонн
Білгород-Дністровський морський порт,2015,Липень,"ТОВ ""КД Транс""",3,Лісні вантажі,Навантаження,"5,571",тис. тонн
Білгород-Дністровський морський порт,2015,Липень,"ТОВ ""КД Транс""",4,Лісні вантажі,Навантаження,"9,941",тис. тонн
Білгород-Дністровський морський порт,2015,Липень,"ТОВ ""КД Транс""",5,Лісні вантажі,Навантаження,"11,057",тис. тонн
Білгород-Дністровський морський порт,2015,Липень,"ТОВ ""КД Транс""",6,Лісні вантажі,Навантаження,"7,736",тис. тонн
Білгород-Дністровський морський порт,2015,Липень,"ТОВ ""КД Транс""",8,Лісні вантажі,Навантаження,"9,531",тис. тонн
Білгород-Дністровський морський порт,2015,Липень,"ТОВ ""КД Транс""",9,Лісні вантажі,Навантаження,"6,063",тис. тонн
Білгород-Дністровський морський порт,2015,Липень,"ПП ""Рівер-Транс""","1 п/п ""Бугаз""",Лісні вантажі,Навантаження,"11,074",тис. тонн
Білгород-Дністровський морський порт,2015,Червень,"ТОВ ""КД Транс""",2,Лісні вантажі,Навантаження,"16,74",тис. тонн
