МІСЬКИЙ ЕЛЕКТРИЧНИЙ ТРАНСПОРТ-ДТП-2014,267
МІСЬКИЙ ЕЛЕКТРИЧНИЙ ТРАНСПОРТ-Загинуло-2014,9
МІСЬКИЙ ЕЛЕКТРИЧНИЙ ТРАНСПОРТ-Травмовано-2014,93
АВТОМОБІЛЬНИЙ ТРАНСПОРТ ЗАГАЛЬНОГО КОРИСТУВАННЯ-ДТП-2014,1877
АВТОМОБІЛЬНИЙ ТРАНСПОРТ ЗАГАЛЬНОГО КОРИСТУВАННЯ-Загинуло-2014,60
АВТОМОБІЛЬНИЙ ТРАНСПОРТ ЗАГАЛЬНОГО КОРИСТУВАННЯ-Травмовано-2014,887
АВІАЦІЙНИЙ ТРАНСПОРТ-Катастрофи-2015,2
АВІАЦІЙНИЙ ТРАНСПОРТ-Аварії-2015,1
АВІАЦІЙНИЙ ТРАНСПОРТ-Серйозні інциденти-2015,2
АВІАЦІЙНИЙ ТРАНСПОРТ-Інциденти-2015,62
АВІАЦІЙНИЙ ТРАНСПОРТ-Загинуло-2015,2
АВІАЦІЙНИЙ ТРАНСПОРТ-Травмовано-2015,0
ВОДНИЙ ТРАНСПОРТ-Дуже серйозні аварії (катастрофи)-2015,4
ВОДНИЙ ТРАНСПОРТ-Серйозні аварії-2015,5
ВОДНИЙ ТРАНСПОРТ-Серйозні інциденти-2015,0
ВОДНИЙ ТРАНСПОРТ-Інциденти-2015,5
ВОДНИЙ ТРАНСПОРТ-Загинуло-2015,5
ВОДНИЙ ТРАНСПОРТ-Травмовано-2015,4
ЗАЛІЗНИЧНИЙ ТРАНСПОРТ-Катастрофи-2015,0
ЗАЛІЗНИЧНИЙ ТРАНСПОРТ-Аварії-2015,0
ЗАЛІЗНИЧНИЙ ТРАНСПОРТ-Серйозні інциденти-2015,25
ЗАЛІЗНИЧНИЙ ТРАНСПОРТ-Інциденти-2015,381
ЗАЛІЗНИЧНИЙ ТРАНСПОРТ-Загинуло-2015,0
ЗАЛІЗНИЧНИЙ ТРАНСПОРТ-Травмовано-2015,3
МІСЬКИЙ ЕЛЕКТРИЧНИЙ ТРАНСПОРТ-ДТП-2015,102
МІСЬКИЙ ЕЛЕКТРИЧНИЙ ТРАНСПОРТ-Загинуло-2015,1
МІСЬКИЙ ЕЛЕКТРИЧНИЙ ТРАНСПОРТ-Травмовано-2015,66
АВТОМОБІЛЬНИЙ ТРАНСПОРТ ЗАГАЛЬНОГО КОРИСТУВАННЯ-ДТП-2015,577
АВТОМОБІЛЬНИЙ ТРАНСПОРТ ЗАГАЛЬНОГО КОРИСТУВАННЯ-Загинуло-2015,50
АВТОМОБІЛЬНИЙ ТРАНСПОРТ ЗАГАЛЬНОГО КОРИСТУВАННЯ-Травмовано-2015,452
